Category,Manga Count,Is NSFW
Romance,12880,No
Drama,10379,No
Fantasy,9871,No
Action,6293,No
Long Strip,5390,No
Full Color,5121,No
Comedy,5011,No
Web Comic,4004,No
Adventure,3341,No
Supernatural,2945,No
Slice Of Life,1861,No
Adaptation,1638,No
Mystery,1398,No
Martial Arts,1227,No
Psychological,1048,No
Reincarnation,964,No
Historical,920,No
Magic,901,No
Isekai,875,No
Sci-Fi,812,No
School Life,774,No
Horror,688,No
Thriller,681,No
Monsters,513,No
Time Travel,502,No
Harem,464,No
Wuxia,395,No
Tragedy,363,No
Demons,359,No
Sports,245,No
Shoujo Ai,232,No
Villainess,224,No
Survival,212,No
Video Games,193,No
School,142,No
Office Workers,138,No
Animals,119,No
Post-Apocalyptic,112,No
Music,112,No
Ghosts,111,No
Crime,111,No
Military,105,No
Crossdressing,103,No
Virtual Reality,94,No
Gore,81,No
Zombies,78,No
Medical,77,No
Delinquents,74,No
Cooking,70,No
Superhero,62,No
Vampires,57,No
Mecha,51,No
Mafia,45,No
Police,39,No
Award Winning,38,No
Aliens,37,No
Shounen Ai,21,No
Magical Girls,17,No
Philosophical,15,No
Anthology,14,No
Official Colored,13,No
Super Power,9,No
Vampire,7,No
Cars,6,No
Friendship,6,No
Ninja,5,No
Kids,4,No
Gyaru,3,No
Traditional Games,2,No
Samurai,2,No
Game,2,No
Racing,2,No
Self-Published,1,No
Space,1,No
Dementia,1,No
Parody,1,No
Food,1,No
